"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","metodo_pago","monto","id_creditos","periodo_inicio","periodo_corte","primer_dia_mes_corte","tipo_credito"
A002062,2017-03-30,DINERO,transaccion,transaccion_20,DINERO8,credito_3,3519.0,24,201703,201704,2017-04-01,deposito
A002064,2017-03-30,DINERO,transaccion,transaccion_2,DINERO10,credito_3,162849.0,24,201703,201704,2017-04-01,deposito
A002066,2017-03-30,DINERO,transaccion,"5.transaccion_1",DINERO6,credito_3,44582.43,24,201703,201704,2017-04-01,deposito
A002068,2017-03-30,DINERO,transaccion,transaccion_4,DINERO2,credito_2,22977.0,24,201703,201704,2017-04-01,deposito
A002092,2017-04-08,LIBRE,gustos,"6.gustos_10",LIBRE5,credito_3,-38582.895000000004,24,201703,201704,2017-04-01,gasto
A002110,2017-04-16,RECREACION,evento,evento_7697,RECREACION3,credito_3,-3037.5,25,201704,201705,2017-05-01,gasto
A002111,2017-04-16,RECREACION,invitacion,invitacion: nombre_20,RECREACION8,credito_3,-3037.5,25,201704,201705,2017-05-01,gasto
A002126,2017-04-17,DINERO,transaccion,transaccion_18,DINERO4,credito_3,44633.895000000004,25,201704,201705,2017-05-01,deposito
A002202,2017-05-13,NECESIDAD,necesidad,necesidad_14,NECESIDAD3,credito_3,-28206.0,26,201705,201706,2017-06-01,gasto
A002229,2017-05-17,DINERO,transaccion,transaccion_3,DINERO6,credito_3,28194.0,26,201705,201706,2017-06-01,deposito
A002279,2017-06-01,P.GUSTOS,gustos,"7.gustos_11",P.GUSTOS1,credito_2,-153239.86500000002,26,201705,201706,2017-06-01,gasto
A002297,2017-06-10,P.VIAJE,consumible,consumible_9468,P.VIAJE2,credito_2,-5208.9,27,201706,201707,2017-07-01,gasto
A002298,2017-06-10,P.VIAJE,necesidad,necesidad_17,P.VIAJE2,credito_2,-77556.0,27,201706,201707,2017-07-01,gasto
A002299,2017-06-10,P.VIAJE,deuda,deuda: nombre_3,P.VIAJE4,credito_2,-6351.0,27,201706,201707,2017-07-01,gasto
A002300,2017-06-10,P.VIAJE,consumible,consumible_11704,P.VIAJE6,credito_2,-8677.5,27,201706,201707,2017-07-01,gasto
A002307,2017-06-10,P.VIAJE,consumible,consumible_9447,P.VIAJE3,credito_2,-1627.5,27,201706,201707,2017-07-01,gasto
A002311,2017-06-10,P.VIAJE,transporte,transporte_18,P.VIAJE3,credito_2,-3208.815,27,201706,201707,2017-07-01,gasto
A002316,2017-06-11,P.VIAJE,consumible,consumible_9497,P.VIAJE3,credito_2,-2614.5,27,201706,201707,2017-07-01,gasto
A002317,2017-06-11,P.VIAJE,deuda,deuda: nombre_15,P.VIAJE6,credito_2,-711.0,27,201706,201707,2017-07-01,gasto
A002318,2017-06-11,P.VIAJE,deuda,deuda: nombre_2,P.VIAJE8,credito_2,-1275.0,27,201706,201707,2017-07-01,gasto
A002319,2017-06-11,P.VIAJE,transporte,transporte_1,P.VIAJE9,credito_2,-2904.96,27,201706,201707,2017-07-01,gasto
A002320,2017-06-11,INGRESO,actividad,actividad_2,INGRESO2,credito_2,-63385.5,27,201706,201707,2017-07-01,gasto
A002321,2017-06-11,P.VIAJE,gustos,"1.gustos_5",P.VIAJE2,credito_2,-16221.0,27,201706,201707,2017-07-01,gasto
